County/Sub County,Visual,,,Hearing ,,,Mobility,,,Cognition,,,Self Care,,,Communication,,
,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female
KIMININI,"1,808",786,"1,022",634,281,353,"1,671",684,987,"1,108",472,636,629,306,323,687,350,337
UASIN GISHU,"5,644","2,500","3,143","2,330","1,134","1,196","5,666","2,364","3,302","2,923","1,315","1,608","2,312","1,076","1,236","1,994","1,085",909
AINABKOI,502,231,271,234,117,117,609,250,359,303,137,166,291,129,162,205,103,102
KAPSERET,"1,194",532,662,409,213,196,978,419,559,497,231,266,357,167,190,349,201,148
KESSES,511,243,268,258,122,136,671,285,386,360,167,193,300,134,166,231,129,102
MOIBEN,668,295,373,322,154,168,745,335,410,376,181,195,391,187,204,298,155,143
SOY,"1,307",569,737,551,254,297,"1,292",521,771,753,316,437,537,249,288,456,251,205
TURBO,"1,462",630,832,556,274,282,"1,371",554,817,634,283,351,436,210,226,455,246,209
ELGEYO/MARAKWET,"1,459",663,796,934,469,465,"2,050",974,"1,076",973,445,528,980,486,494,655,372,283
KEIYO NORTH,417,190,227,230,113,117,486,236,250,235,111,124,237,118,119,153,86,67
KEIYO SOUTH,480,214,266,301,146,155,705,311,394,345,147,198,298,133,165,185,94,91
MARAKWET EAST,233,102,131,167,92,75,326,166,160,149,67,82,163,81,82,116,69,47
MARAKWET WEST,329,157,172,236,118,118,533,261,272,244,120,124,282,154,128,201,123,78
NANDI,"4,655","2,052","2,603","2,362","1,158","1,204","6,221","2,553","3,667","2,994","1,383","1,610","2,197","1,090","1,107","1,947","1,095",852
CHESUMEI,591,242,349,294,153,141,809,354,455,374,189,185,318,145,173,300,181,119
NANDI CENTRAL,841,375,466,357,179,178,"1,108",460,648,604,262,342,376,182,194,373,216,157
NANDI EAST,538,260,278,269,142,127,615,293,321,285,139,145,281,142,139,209,124,85
NANDI NORTH,"1,011",415,596,514,240,274,"1,284",482,802,566,268,298,494,249,245,383,205,178
NANDI SOUTH,961,441,520,520,254,266,"1,392",551,841,662,293,369,414,200,214,410,214,196
TINDERET,713,319,394,408,190,218,"1,013",413,600,503,232,271,314,172,142,272,155,117
BARINGO,"2,757","1,214","1,543","1,690",794,896,"3,805","1,732","2,073","1,854",851,"1,003","1,799",863,936,"1,217",639,577
BARINGO CENTRAL,413,179,234,296,147,149,711,306,405,333,156,177,321,152,169,212,120,92
BARINGO NORTH,511,219,292,311,133,178,769,355,414,349,153,196,358,170,188,224,105,119
EAST POKOT,187,75,112,114,47,67,162,73,89,109,46,63,108,54,54,75,36,39
KOIBATEK,505,233,272,223,116,107,779,357,422,352,163,189,316,151,165,241,133,108
MARIGAT,458,201,257,281,128,153,512,238,274,185,92,93,182,98,84,125,71,54
MOGOTIO,395,175,220,247,119,128,552,239,313,249,104,145,258,113,145,182,89,92
TIATY EAST,288,132,156,218,104,114,320,164,156,277,137,140,256,125,131,158,85,73
LAIKIPIA,"2,762","1,139","1,623","1,139",533,606,"3,663","1,394","2,269","2,076",960,"1,116","1,434",709,725,"1,112",635,477
LAIKIPIA CENTRAL,837,325,512,271,122,149,"1,071",375,696,611,280,331,367,190,177,265,166,99
LAIKIPIA EAST,428,172,256,165,72,93,515,203,312,297,133,164,218,106,112,204,107,97
LAIKIPIA NORTH,95,44,51,82,44,38,70,38,32,39,25,14,47,18,29,39,21,18
LAIKIPIA WEST,507,211,296,257,125,132,724,306,418,418,215,203,291,145,146,217,126,91
NYAHURURU,895,387,508,364,170,194,"1,283",472,811,711,307,404,511,250,261,387,215,172
